text,language,language_code,source,label,model,temperature,generation_task,domain,length_style,seed_id,word_count,afro_pred,afro_proba
"Badiri ba ba lwantšhang go tšwa go feta ka matšatši a mabedi a tlago, tšhelete ya manzi le merogo e tla oketšwa.",sepedi,nso,groq,1,llama-3.3-70b-versatile,0.7,public_service_message,water and electricity,one short sentence,303.0,22.0,0,0.04112948
"Re lekile ka fao re ka kgo nang go fediša ditlamorago tša dikiletšo tša mesepelo ka go latelana go lebeletšwe mekgwa yeo batho ba iphedišago ka yona, go se dire bjalo re be re sena kgetho ge e se fela go ipea  kotsing ya go welwa ke leuba le lengwe gape leo go ka kgona galago gore le be le šoro kudu ebago leuba la bohloki le la tlala kamoso.",sepedi,nso,vukuzenzele,0,,,,,,,,1,0.74194765
Maendeleo ya jamii huanza na,swahili,swa,gemini,1,gemini-2.5-flash,0.7,opinion,community development,a short paragraph,3034.0,5.0,0,0.117330186
"Kukho izinto ezingezona ezilanga izandiso ezinconywa ngokucekuza ukusetyenziswa kwayo kwimihla ngemihla, kudala ukuba abantu bazifumanele ngokwenzekileyo.",xhosa,xho,groq,1,llama-3.3-70b-versatile,0.9,rewrite,phones and technology,a formal paragraph,649.0,16.0,0,0.20307606
"Kwathi ngowezi-2018, sibambe ingqungquthela yokuqala yotshalomali, esingekade mnyango wokukhankasa imali yethu, esingaphezulu kwezigidi ezi-R1.2, esifuna ukutshalomali kweminyaka emininzi.",zulu,zul,groq,1,llama-3.3-70b-versatile,0.7,summarize,food and cooking,a short paragraph,1550.0,18.0,0,0.0016353265
Re kwele ka mo dihlongwa tše ntši tša setšhaba le dikhamphani tša mmušo di ilego tša dirwa ka boomo gore di fokole.,sepedi,nso,vukuzenzele,0,,,,,,,,1,0.80087894
"Izimali zokulondolozwa kubantu bazibambile kakhulu ngemigwaqo yezokuthutha izimali, isiqinisekiso sokuthola imali kubantu abahluphekile kanye nezindlela zokufika kwi-ofisi zokulondolozwa.",zulu,zul,groq,1,llama-3.3-70b-versatile,0.7,technology,social grants,a short paragraph,3375.0,18.0,0,0.02140173
Umnotho wethu nomphakathi wethu bakhahlamezeke kakhulu.,zulu,zul,vukuzenzele,0,,,,,,,,1,0.97716206
"Bašomi ba mmalwa ba mmušo mo mengwageng ba be ba tšea gore go lokile go dira kgwebo le mmušo goba go holega go tšwa go mmušo go dumeletšwe go bona, ba gwera ba bona le go malapa a bona, ge fela ba sa tshele molao.",sepedi,nso,vukuzenzele,0,,,,,,,,1,0.74423367
Re gopola bašomedi ba rena ba tša maphelo bao ba lobilego maphelo a bona ba hlokometše balwetši.,sepedi,nso,vukuzenzele,0,,,,,,,,1,0.99461234
Ugumbi lokuncelisela loluwa nguNgqongqoshe wezempilo kulesisifundazwe. Abantu bamakhosi baya kwenye ingumbi zikaRheli yakho ezempilo ezingaphakade.,zulu,zul,groq,1,llama-3.3-70b-versatile,1.1,explain,clinic visits,two natural sentences,3614.0,15.0,0,0.29811013
